State,Dem_or_rep
AL,"Red"
AK,"Red"
AR,"Red"
FL,"Red"
ID,"Red"
IN,"Red"
IA,"Red"
KS,"Red"
KY,"Red"
LA,"Red"
MS,"Red"
MO,"Red"
MT,"Red"
NE,"Red"
NC,"Red"
ND,"Red"
OH,"Red"
OK,"Red"
SC,"Red"
SD,"Red"
TN,"Red"
TX,"Red"
UT,"Red"
WV,"Red"
WY,"Red"
