State,Dem_or_rep,avg_hestiant,avg_strongly_hesitant
AK,"Red",21.738620889597925,15.690690172129663
AL,"Red",17.350746225954882,13.24089549904439
AR,"Red",21.212266998291014,13.990133387247722
AZ,"Blue",15.923999786376953,12.135333379109701
CA,"Blue",7.2274137694260165,3.5806896296040764
CO,"Blue",7.82203122228384,4.727500047534704
CT,"Blue",5.698749899864197,3.1512500047683716
DE,"Blue",5.9433333079020185,3.4833333492279053
FL,"Red",14.521194045223407,9.720746317906166
GA,"Blue",16.181509293850112,10.311949648947087
HI,"Blue",5.95,3.1739999771118166
IA,"Red",12.626464689620818,7.5881817509429625
ID,"Red",19.202272631905295,12.569318056106567
IL,"Blue",9.608529455521527,5.922745073542876
IN,"Red",13.146521692690643,8.268152081448099
KS,"Red",15.164761924743653,9.312857091994513
KY,"Red",19.584916464487712,12.942416675885518
LA,"Red",18.971874862909317,11.699531316757202
MA,"Blue",4.62785712310246,3.368571400642395
MD,"Blue",7.601666669050853,4.025416721900304
ME,"Blue",9.565624952316284,7.856250166893005
MI,"Blue",9.963132542299936,6.131445792784174
MN,"Blue",7.788620751479576,4.196436871057269
MO,"Red",15.022782508186673,9.039999986731488
MS,"Red",18.253170571676115,12.542439042068109
MT,"Red",25.1385714667184,17.083035554204667
NC,"Red",13.591300010681152,10.494699993133544
ND,"Red",13.6520754436277,9.331132259009019
NE,"Red",8.678817067095029,5.350537597492177
NH,"Blue",10.353999805450439,6.790000009536743
NJ,"Blue",4.9695238045283725,3.371428580511184
NM,"Blue",7.822424339525627,4.170000083518751
NV,"Blue",13.242352653952207,7.152353034299963
NY,"Blue",7.178548420629194,5.045322606640477
OH,"Red",14.565681858496232,8.794204543937337
OK,"Red",19.404545499132826,13.487532355568625
OR,"Blue",11.268888844384087,8.50027769141727
PA,"Blue",11.885671672536366,7.880447786245773
RI,"Blue",6.6420001029968265,4.975999927520752
SC,"Red",14.328695711882219,8.063695627710093
SD,"Red",11.257424267855557,8.15484849611918
TN,"Red",13.838841980382016,8.726105439035516
TX,"Red",11.981102357699177,8.003267731253557
UT,"Red",11.724482667857203,7.217241418772731
VA,"Blue",6.311052664778287,4.330827057809758
VT,"Blue",4.0264285291944235,2.167142833982195
WA,"Blue",7.791281993572529,5.6658974305177345
WI,"Blue",15.294444481531778,9.110972305138906
WV,"Red",10.145272844487971,7.762000031904741
WY,"Red",21.77608697310738,15.872174263000488
