State,Dem_or_rep,max_vax_rate,relative_hospitalizations
TN,"Red",64.5999984741211,0.6852
ID,"Red",64.0999984741211,0.4839
LA,"Red",62.900001525878906,0.9362
MS,"Red",61.79999923706055,1.4891
WY,"Red",61.099998474121094,0.3801
