State,Dem_or_rep,max_vax_rate,relative_icu_utilization
RI,"Blue",95,0.004860306130831226
VT,"Blue",95,0.012664776863856747
CT,"Blue",95,0.006261376410064685
MA,"Blue",95,0.0013048477369825547
ME,"Blue",95,0.07252338682467514
TN,"Red",64.5999984741211,0.26315880019807264
ID,"Red",64.0999984741211,0.07818938484094305
LA,"Red",62.900001525878906,0.05172265766329797
MS,"Red",61.79999923706055,0.04555918460049526
WY,"Red",61.099998474121094,0.07085139503423445
