Dem_or_rep,state,avg_hesitant,avg_strongly_hesitant,avg_dose1_received
"Blue",CO,7.82203122228384,4.727500047534704,57.67319939963183
"Red",ID,19.202272631905295,12.569318056106567,42.709547681824446
"Blue",VT,4.0264285291944235,2.167142833982195,68.7988274125398
"Red",MT,25.1385714667184,17.083035554204667,48.301340016887416
"Red",UT,11.724482667857203,7.217241418772731,51.33383594365974
"Blue",DE,5.9433333079020185,3.4833333492279053,59.28174204003671
"Red",MO,15.022782508186673,9.039999986731488,47.72763812322313
"Red",TX,11.981102357699177,8.003267731253557,51.35778894696004
"Red",NC,13.591300010681152,10.494699993133544,56.50150756260857
"Red",IA,12.626464689620818,7.5881817509429625,50.745561182798454
"Blue",NJ,4.9695238045283725,3.371428580511184,64.5981574753421
"Red",KS,15.164761924743653,9.312857091994513,52.99581247038977
"Red",WY,21.77608697310738,15.872174263000488,42.61541037343854
"Red",OK,19.404545499132826,13.487532355568625,50.36348402160696
"Red",LA,18.971874862909317,11.699531316757202,43.77252933527756
"Blue",MI,9.963132542299936,6.131445792784174,49.7266331901103
"Blue",NV,13.242352653952207,7.152353034299963,53.204857642526804
"Blue",AZ,15.923999786376953,12.135333379109701,52.32981578309332
"Red",AL,17.350746225954882,13.24089549904439,44.5015075418418
"Red",ND,13.6520754436277,9.331132259009019,47.29966496702415
"Blue",WA,7.791281993572529,5.6658974305177345,59.175041938347235
"Red",OH,14.565681858496232,8.794204543937337,47.320603008046625
"Blue",ME,9.565624952316284,7.856250166893005,65.88710215742664
"Red",AR,21.212266998291014,13.990133387247722,47.625795581632325
"Red",AK,21.738620889597925,15.690690172129663,51.145728595292745
"Blue",WI,15.294444481531778,9.110972305138906,53.280569554173965
"Red",SD,11.257424267855557,8.15484849611918,54.74254611828419
"Blue",PA,11.885671672536366,7.880447786245773,62.4886097979905
"Red",KY,19.584916464487712,12.942416675885518,49.577386975887435
"Blue",VA,6.311052664778287,4.330827057809758,30.473618127193483
"Red",NE,8.678817067095029,5.350537597492177,51.755946365433125
"Blue",HI,5.95,3.1739999771118166,65.47336687634339
"Red",MS,18.253170571676115,12.542439042068109,42.34455618866325
"Blue",IL,9.608529455521527,5.922745073542876,56.969179194975936
"Blue",GA,16.181509293850112,10.311949648947087,46.56733668150015
"Blue",OR,11.268888844384087,8.50027769141727,57.11943047969186
"Blue",MD,7.601666669050853,4.025416721900304,62.07035178275564
"Blue",CT,5.698749899864197,3.1512500047683716,67.95008378052832
"Blue",NH,10.353999805450439,6.790000009536743,65.9837520350164
"Red",IN,13.146521692690643,8.268152081448099,45.1581239828113
"Blue",NM,7.822424339525627,4.170000083518751,63.650251214428366
"Blue",MA,4.62785712310246,3.368571400642395,68.93199325127019
"Blue",CA,7.2274137694260165,3.5806896296040764,61.249581233141214
"Red",WV,10.145272844487971,7.762000031904741,46.940368483014645
"Blue",RI,6.6420001029968265,4.975999927520752,67.12345059233495
"Red",TN,13.838841980382016,8.726105439035516,44.8532663054602
"Red",FL,14.521194045223407,9.720746317906166,56.761139093331956
"Blue",NY,7.178548420629194,5.045322606640477,63.307705147581885
"Red",SC,14.328695711882219,8.063695627710093,48.08207695607963
"Blue",MN,7.788620751479576,4.196436871057269,55.68994980082041
