State,Dem_or_rep
AZ,"Blue"
CA,"Blue"
CO,"Blue"
CT,"Blue"
DE,"Blue"
GA,"Blue"
HI,"Blue"
IL,"Blue"
ME,"Blue"
MD,"Blue"
MA,"Blue"
MI,"Blue"
MN,"Blue"
NV,"Blue"
NH,"Blue"
NJ,"Blue"
NM,"Blue"
NY,"Blue"
OR,"Blue"
PA,"Blue"
RI,"Blue"
VT,"Blue"
VA,"Blue"
WA,"Blue"
WI,"Blue"
