State,max_vax_rate,relative_icu_utilization
NH,95,0.03384468737040962
VT,95,0.012664776863856747
RI,95,0.004860306130831226
CT,95,0.006261376410064685
ME,95,0.07252338682467514
MA,95,0.0013048477369825547
NJ,94.9000015258789,0.012368230509337842
NM,94.9000015258789,0.010355989502225318
NY,94.69999694824219,0.021873255846605096
NC,92.5999984741211,0.08530813952055707
MD,92.0999984741211,0.01568045048205804
HI,91.80000305175781,0.00532411919644994
VA,91.30000305175781,0.3036034265981384
PA,91.0999984741211,0.018543270717127417
WV,89.69999694824219,0.07184405249924423
DE,88.5,0.002616146958691787
CA,86.30000305175781,0.030119092194584838
WA,85.5999984741211,0.017744471546354345
SD,84.30000305175781,0.22172584478476082
CO,84,0.1175154665231951
FL,82.9000015258789,0.08428397280434696
OR,82,0.032700643287868675
IL,79.19999694824219,0.1185461606700849
MN,79.0999984741211,0.20179206257150817
AZ,78.4000015258789,0.011898878498404961
NV,78.30000305175781,0.16975175819523655
TX,77,1.475857527621042
KS,76.5,0.13124185999914129
UT,75.5,0.03389150607778668
WI,75.30000305175781,0.1566659452623752
OK,74.9000015258789,0.10402797945838588
NE,73.69999694824219,0.04518121986543715
AK,73.19999694824219,0.024223630459973274
SC,71.19999694824219,0.0215435090223775
IA,70.9000015258789,1.2588470250814339
AR,70.0999984741211,0.03115611236491995
MI,69.9000015258789,0.019588071052176786
MO,69.5999984741211,0.2559828357992389
ND,69.5999984741211,0.07919757196611901
KY,69.0999984741211,0.062216785670092256
GA,68.5999984741211,0.21275938310854345
MT,68.4000015258789,0.06836003118799643
OH,65.9000015258789,0.16530977841543013
AL,65.0999984741211,0.14558232274319394
TN,64.5999984741211,0.26315880019807264
IN,64.5999984741211,0.1045714911214174
ID,64.0999984741211,0.07818938484094305
LA,62.900001525878906,0.05172265766329797
MS,61.79999923706055,0.04555918460049526
WY,61.099998474121094,0.07085139503423445
